program_fact_id	year	kecamatan_id	kecamatan	program_id	program_name	relevance_score	target_beneficiaries	budget_idr	estimated_successful_umkm	data_status
1	2024	BATAM-BTK	Batam Kota	PRG-DIG	Digitalisasi UMKM	86	175	105000000	177	Analytical Simulation
2	2024	BATAM-BTK	Batam Kota	PRG-HAL	Sertifikasi Halal & Legalitas	76	155	69750000	149	Analytical Simulation
3	2024	BATAM-BTK	Batam Kota	PRG-MOD	Akses Pembiayaan Mikro	50	102	91800000	85	Analytical Simulation
4	2024	BATAM-BTK	Batam Kota	PRG-PKG	Packaging & Branding	50	102	76500000	85	Analytical Simulation
5	2024	BATAM-BTK	Batam Kota	PRG-EXP	Scale-up Ekspor/Antar Pulau	82	167	200400000	165	Analytical Simulation
6	2024	BATAM-BTK	Batam Kota	PRG-SEA	Blue Economy Support	50	102	81600000	85	Analytical Simulation
7	2024	BATAM-SKP	Sekupang	PRG-DIG	Digitalisasi UMKM	50	89	53400000	74	Analytical Simulation
8	2024	BATAM-SKP	Sekupang	PRG-HAL	Sertifikasi Halal & Legalitas	76	136	61200000	131	Analytical Simulation
9	2024	BATAM-SKP	Sekupang	PRG-MOD	Akses Pembiayaan Mikro	50	89	80100000	74	Analytical Simulation
10	2024	BATAM-SKP	Sekupang	PRG-PKG	Packaging & Branding	50	89	66750000	74	Analytical Simulation
11	2024	BATAM-SKP	Sekupang	PRG-EXP	Scale-up Ekspor/Antar Pulau	50	89	106800000	74	Analytical Simulation
12	2024	BATAM-SKP	Sekupang	PRG-SEA	Blue Economy Support	50	89	71200000	74	Analytical Simulation
13	2024	BATAM-SGL	Sagulung	PRG-DIG	Digitalisasi UMKM	86	235	141000000	237	Analytical Simulation
14	2024	BATAM-SGL	Sagulung	PRG-HAL	Sertifikasi Halal & Legalitas	76	208	93600000	200	Analytical Simulation
15	2024	BATAM-SGL	Sagulung	PRG-MOD	Akses Pembiayaan Mikro	80	218	196200000	214	Analytical Simulation
16	2024	BATAM-SGL	Sagulung	PRG-PKG	Packaging & Branding	50	136	102000000	113	Analytical Simulation
17	2024	BATAM-SGL	Sagulung	PRG-EXP	Scale-up Ekspor/Antar Pulau	50	136	163200000	113	Analytical Simulation
18	2024	BATAM-SGL	Sagulung	PRG-SEA	Blue Economy Support	50	136	108800000	113	Analytical Simulation
19	2024	BATAM-BAJ	Batu Aji	PRG-DIG	Digitalisasi UMKM	86	157	94200000	159	Analytical Simulation
20	2024	BATAM-BAJ	Batu Aji	PRG-HAL	Sertifikasi Halal & Legalitas	76	139	62550000	133	Analytical Simulation
21	2024	BATAM-BAJ	Batu Aji	PRG-MOD	Akses Pembiayaan Mikro	80	146	131400000	143	Analytical Simulation
22	2024	BATAM-BAJ	Batu Aji	PRG-PKG	Packaging & Branding	50	91	68250000	76	Analytical Simulation
23	2024	BATAM-BAJ	Batu Aji	PRG-EXP	Scale-up Ekspor/Antar Pulau	50	91	109200000	76	Analytical Simulation
24	2024	BATAM-BAJ	Batu Aji	PRG-SEA	Blue Economy Support	50	91	72800000	76	Analytical Simulation
25	2024	BATAM-BKG	Bengkong	PRG-DIG	Digitalisasi UMKM	86	150	90000000	152	Analytical Simulation
26	2024	BATAM-BKG	Bengkong	PRG-HAL	Sertifikasi Halal & Legalitas	76	133	59850000	128	Analytical Simulation
27	2024	BATAM-BKG	Bengkong	PRG-MOD	Akses Pembiayaan Mikro	80	140	126000000	137	Analytical Simulation
28	2024	BATAM-BKG	Bengkong	PRG-PKG	Packaging & Branding	50	87	65250000	72	Analytical Simulation
29	2024	BATAM-BKG	Bengkong	PRG-EXP	Scale-up Ekspor/Antar Pulau	50	87	104400000	72	Analytical Simulation
30	2024	BATAM-BKG	Bengkong	PRG-SEA	Blue Economy Support	50	87	69600000	72	Analytical Simulation
31	2024	BATAM-LBJ	Lubuk Baja	PRG-DIG	Digitalisasi UMKM	86	104	62400000	105	Analytical Simulation
32	2024	BATAM-LBJ	Lubuk Baja	PRG-HAL	Sertifikasi Halal & Legalitas	76	92	41400000	88	Analytical Simulation
33	2024	BATAM-LBJ	Lubuk Baja	PRG-MOD	Akses Pembiayaan Mikro	50	60	54000000	50	Analytical Simulation
34	2024	BATAM-LBJ	Lubuk Baja	PRG-PKG	Packaging & Branding	84	102	76500000	102	Analytical Simulation
35	2024	BATAM-LBJ	Lubuk Baja	PRG-EXP	Scale-up Ekspor/Antar Pulau	82	99	118800000	98	Analytical Simulation
36	2024	BATAM-LBJ	Lubuk Baja	PRG-SEA	Blue Economy Support	50	60	48000000	50	Analytical Simulation
37	2024	BATAM-BAM	Batu Ampar	PRG-DIG	Digitalisasi UMKM	50	37	22200000	31	Analytical Simulation
