fact_id	year	kecamatan_id	kecamatan	sector_id	sector_name	umkm_count	employment_est	estimated_revenue_million_idr	digital_adoption_pct	formalization_rate_pct	data_status
1	2020	BATAM-BAJ	Batu Aji	SEK-DIG	Digital & Kreatif	87	122	11275,2	67,5	35,3	Derived from fact_umkm_kelurahan_sector
2	2020	BATAM-BAJ	Batu Aji	SEK-FAS	Fashion & Aksesoris	256	487	18739,2	46,5	32,7	Derived from fact_umkm_kelurahan_sector
3	2020	BATAM-BAJ	Batu Aji	SEK-JAS	Jasa Personal	305	536	20496	37,9	30,8	Derived from fact_umkm_kelurahan_sector
4	2020	BATAM-BAJ	Batu Aji	SEK-KER	Kerajinan & Souvenir	159	253	8967,6	51,3	32,1	Derived from fact_umkm_kelurahan_sector
5	2020	BATAM-BAJ	Batu Aji	SEK-KUL	Kuliner & Makanan	564	1422	50760	38,1	26,9	Derived from fact_umkm_kelurahan_sector
6	2020	BATAM-BAJ	Batu Aji	SEK-LOG	Transportasi & Logistik Mikro	164	262	13972,8	48,2	30,4	Derived from fact_umkm_kelurahan_sector
7	2020	BATAM-BAJ	Batu Aji	SEK-OTM	Otomotif & Repair	124	196	10862,4	39	29,1	Derived from fact_umkm_kelurahan_sector
8	2020	BATAM-BAJ	Batu Aji	SEK-PAR	Pariwisata & Akomodasi Mikro	86	183	9804	57	33,6	Derived from fact_umkm_kelurahan_sector
9	2020	BATAM-BAJ	Batu Aji	SEK-PRK	Perikanan & Olahan Laut	196	355	15993,6	22	26,3	Derived from fact_umkm_kelurahan_sector
10	2020	BATAM-BAJ	Batu Aji	SEK-RIT	Retail & Perdagangan	460	1024	45264	34,3	26,8	Derived from fact_umkm_kelurahan_sector
11	2020	BATAM-BAM	Batu Ampar	SEK-DIG	Digital & Kreatif	36	51	4665,6	66,3	37,1	Derived from fact_umkm_kelurahan_sector
12	2020	BATAM-BAM	Batu Ampar	SEK-FAS	Fashion & Aksesoris	121	238	8857,2	52,8	29,9	Derived from fact_umkm_kelurahan_sector
13	2020	BATAM-BAM	Batu Ampar	SEK-JAS	Jasa Personal	139	229	9340,8	42	29,6	Derived from fact_umkm_kelurahan_sector
14	2020	BATAM-BAM	Batu Ampar	SEK-KER	Kerajinan & Souvenir	71	100	4004,4	49,7	31,2	Derived from fact_umkm_kelurahan_sector
15	2020	BATAM-BAM	Batu Ampar	SEK-KUL	Kuliner & Makanan	165	453	14850	36,1	28,7	Derived from fact_umkm_kelurahan_sector
16	2020	BATAM-BAM	Batu Ampar	SEK-LOG	Transportasi & Logistik Mikro	109	186	9286,8	44,9	31,9	Derived from fact_umkm_kelurahan_sector
17	2020	BATAM-BAM	Batu Ampar	SEK-OTM	Otomotif & Repair	54	96	4730,4	37,3	29	Derived from fact_umkm_kelurahan_sector
18	2020	BATAM-BAM	Batu Ampar	SEK-PAR	Pariwisata & Akomodasi Mikro	35	70	3990	60,3	35,7	Derived from fact_umkm_kelurahan_sector
19	2020	BATAM-BAM	Batu Ampar	SEK-PRK	Perikanan & Olahan Laut	80	160	6528	25,3	27,8	Derived from fact_umkm_kelurahan_sector
20	2020	BATAM-BAM	Batu Ampar	SEK-RIT	Retail & Perdagangan	158	359	15547,2	33,2	30,2	Derived from fact_umkm_kelurahan_sector
21	2020	BATAM-BKG	Bengkong	SEK-DIG	Digital & Kreatif	79	111	10238,4	66,9	35,2	Derived from fact_umkm_kelurahan_sector
22	2020	BATAM-BKG	Bengkong	SEK-FAS	Fashion & Aksesoris	225	439	16470	53,5	35,7	Derived from fact_umkm_kelurahan_sector
23	2020	BATAM-BKG	Bengkong	SEK-JAS	Jasa Personal	301	524	20227,2	41	31,8	Derived from fact_umkm_kelurahan_sector
24	2020	BATAM-BKG	Bengkong	SEK-KER	Kerajinan & Souvenir	164	269	9249,6	49,7	29,8	Derived from fact_umkm_kelurahan_sector
25	2020	BATAM-BKG	Bengkong	SEK-KUL	Kuliner & Makanan	514	1526	46260	43,4	31,5	Derived from fact_umkm_kelurahan_sector
26	2020	BATAM-BKG	Bengkong	SEK-LOG	Transportasi & Logistik Mikro	166	283	14143,2	47,2	28,7	Derived from fact_umkm_kelurahan_sector
27	2020	BATAM-BKG	Bengkong	SEK-OTM	Otomotif & Repair	123	206	10774,8	36,7	29,4	Derived from fact_umkm_kelurahan_sector
28	2020	BATAM-BKG	Bengkong	SEK-PAR	Pariwisata & Akomodasi Mikro	88	174	10032	58,7	30,8	Derived from fact_umkm_kelurahan_sector
29	2020	BATAM-BKG	Bengkong	SEK-PRK	Perikanan & Olahan Laut	180	325	14688	21,3	26,3	Derived from fact_umkm_kelurahan_sector
30	2020	BATAM-BKG	Bengkong	SEK-RIT	Retail & Perdagangan	492	1225	48412,8	34	26,6	Derived from fact_umkm_kelurahan_sector
31	2020	BATAM-BLG	Bulang	SEK-DIG	Digital & Kreatif	6	7	777,6	72,7	34,9	Derived from fact_umkm_kelurahan_sector
32	2020	BATAM-BLG	Bulang	SEK-FAS	Fashion & Aksesoris	12	21	878,4	54,7	33,2	Derived from fact_umkm_kelurahan_sector
33	2020	BATAM-BLG	Bulang	SEK-JAS	Jasa Personal	12	21	806,4	43,2	31,5	Derived from fact_umkm_kelurahan_sector
34	2020	BATAM-BLG	Bulang	SEK-KER	Kerajinan & Souvenir	12	18	676,8	51	31,2	Derived from fact_umkm_kelurahan_sector
35	2020	BATAM-BLG	Bulang	SEK-KUL	Kuliner & Makanan	18	45	1620	39	28,4	Derived from fact_umkm_kelurahan_sector
36	2020	BATAM-BLG	Bulang	SEK-LOG	Transportasi & Logistik Mikro	12	20	1022,4	44,2	30,2	Derived from fact_umkm_kelurahan_sector
37	2020	BATAM-BLG	Bulang	SEK-OTM	Otomotif & Repair	12	21	1051,2	36,7	26,4	Derived from fact_umkm_kelurahan_sector
38	2020	BATAM-BLG	Bulang	SEK-PAR	Pariwisata & Akomodasi Mikro	6	12	684	55,5	33	Derived from fact_umkm_kelurahan_sector
39	2020	BATAM-BLG	Bulang	SEK-PRK	Perikanan & Olahan Laut	15	28	1224	26,5	25,1	Derived from fact_umkm_kelurahan_sector
40	2020	BATAM-BLG	Bulang	SEK-RIT	Retail & Perdagangan	15	34	1476	32,7	28,9	Derived from fact_umkm_kelurahan_sector
41	2020	BATAM-BLP	Belakang Padang	SEK-DIG	Digital & Kreatif	7	9	907,2	67,9	35,4	Derived from fact_umkm_kelurahan_sector
42	2020	BATAM-BLP	Belakang Padang	SEK-FAS	Fashion & Aksesoris	21	41	1537,2	53,7	33,7	Derived from fact_umkm_kelurahan_sector
43	2020	BATAM-BLP	Belakang Padang	SEK-JAS	Jasa Personal	26	46	1747,2	40,2	29,1	Derived from fact_umkm_kelurahan_sector
44	2020	BATAM-BLP	Belakang Padang	SEK-KER	Kerajinan & Souvenir	14	21	789,6	49,9	34,3	Derived from fact_umkm_kelurahan_sector
45	2020	BATAM-BLP	Belakang Padang	SEK-KUL	Kuliner & Makanan	36	99	3240	35,6	27,3	Derived from fact_umkm_kelurahan_sector
46	2020	BATAM-BLP	Belakang Padang	SEK-LOG	Transportasi & Logistik Mikro	14	26	1192,8	44,1	28	Derived from fact_umkm_kelurahan_sector
47	2020	BATAM-BLP	Belakang Padang	SEK-OTM	Otomotif & Repair	14	22	1226,4	36,4	28,6	Derived from fact_umkm_kelurahan_sector
48	2020	BATAM-BLP	Belakang Padang	SEK-PAR	Pariwisata & Akomodasi Mikro	7	14	798	56,1	33,1	Derived from fact_umkm_kelurahan_sector
49	2020	BATAM-BLP	Belakang Padang	SEK-PRK	Perikanan & Olahan Laut	32	59	2611,2	26,8	27,4	Derived from fact_umkm_kelurahan_sector
50	2020	BATAM-BLP	Belakang Padang	SEK-RIT	Retail & Perdagangan	32	81	3148,8	34,5	28,3	Derived from fact_umkm_kelurahan_sector
